subject_id,group,device_num,side,device_label,mac_address,date,session_label,fs_hz,duration_s,mean_percent_mvc,max_percent_mvc,min_percent_mvc,iemg_percent_seconds,apdf_p10,apdf_p50,apdf_p90
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-13,15-30-00,1000,1187.491,8.375075331182732,72.80240164887458,3.0068342778407553,9945.319996161808,3.693822726478033,4.594714556556822,17.651380806009648
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-14,15-00-01,1000,1095.064,2.9785999235732645,49.3564982383192,0.3680914270636538,3261.7551975138867,0.48731164757157724,0.9944626497301141,7.358753234051757
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-14,16-00-00,1000,1195.223,5.4406316056921264,44.852017054709044,0.37447275019149157,6502.758592252765,0.4686594686772157,3.755895817705203,12.73476859065972
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-14,17-00-00,1000,1198.635,2.2641839126775247,46.23400451250702,0.3672448143033133,2713.9273051777855,0.47159868791328796,0.8391828916433806,5.795842929939644
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-14,18-00-00,1000,1197.224,2.9789111567414053,42.4829564390451,0.3904247205128881,3566.4212111861852,0.5092733507902188,1.119689981719826,7.786590961594708
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-14,15-00-01,1000,1187.272,1.6593526872760724,23.148150019940086,0.679960982490358,1970.1019945402254,0.8109933923021573,0.9973771804473697,3.7093959703077073
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-14,16-00-00,1000,1146.847,2.299791182676134,30.588194138896057,0.6666011275657309,2637.505245145753,0.8079899094584736,1.054039082195656,5.339754643497018
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-14,17-00-00,1000,1155.783,1.8164087623195524,39.37427165645494,0.6534513370671619,2099.3727145095263,0.8137584553350828,1.1115662474746906,2.88678095965895
107,4,#007,right,mBAN_right,84FD27E506E8,2025-10-14,18-00-00,1000,1169.476,2.041586872904827,18.03512734532772,0.6309760972272551,2387.5857034655737,0.8149177699213808,1.1464361611236051,4.251487558310397
107,4,#007,left,mBAN_left,588E81A24A2B,2025-10-15,10-30-00,1000,1194.478,3.1068154156513437,91.94185237983605,0.66187710968667,3711.01713488732,0.8922459572140763,1.5653347274932141,6.636370197716971
